Match_ID,Team1,Team2,Venue,Team1_Runs,Team2_Runs,Match_Winner,Toss_Winner,Toss_Decision,Key_Performance_Metric
55,PAK,SA,Cape Town,353,365,Team2,Team1,Bowl,39
56,SA,NZ,Cape Town,355,220,Team2,Team2,Bat,20
57,PAK,NZ,Sydney,372,335,Team1,Team2,Bowl,11
58,AUS,IND,Mumbai,200,336,Team1,Team2,Bowl,39
59,ENG,PAK,Lord's,295,351,Team2,Team2,Bowl,53
60,SA,SA,Karachi,254,386,Team1,Team2,Bat,37
61,IND,IND,Mumbai,286,206,Team1,Team2,Bowl,2
62,IND,AUS,Karachi,362,217,Team2,Team2,Bowl,12
63,SA,IND,Karachi,301,313,Team1,Team1,Bowl,49
64,PAK,NZ,Mumbai,317,301,Team2,Team2,Bat,64
65,AUS,SA,Cape Town,261,366,Team1,Team2,Bowl,67
66,SA,PAK,Sydney,396,291,Team1,Team1,Bat,86
67,SA,AUS,Lord's,356,371,Team2,Team2,Bowl,43
68,IND,NZ,Karachi,383,318,Team1,Team2,Bat,38
69,ENG,SA,Lord's,297,304,Team2,Team1,Bowl,6
70,NZ,AUS,Lord's,398,336,Team1,Team1,Bat,97
71,AUS,PAK,Mumbai,368,251,Team2,Team2,Bat,34
72,PAK,IND,Cape Town,272,319,Team2,Team2,Bat,44
73,SA,PAK,Karachi,286,346,Team1,Team2,Bat,53
74,AUS,NZ,Cape Town,355,304,Team2,Team1,Bowl,21
75,ENG,AUS,Sydney,372,267,Team1,Team1,Bat,40
76,NZ,PAK,Lord's,329,342,Team1,Team1,Bat,23
77,PAK,ENG,Sydney,380,379,Team1,Team1,Bat,68
78,AUS,IND,Lord's,242,210,Team1,Team2,Bowl,73
79,ENG,SA,Karachi,348,217,Team1,Team2,Bat,47
80,AUS,AUS,Lord's,310,281,Team1,Team1,Bat,72
81,NZ,AUS,Karachi,250,279,Team2,Team1,Bowl,32
82,SA,SA,Cape Town,233,358,Team2,Team2,Bowl,96
83,PAK,SA,Cape Town,298,208,Team2,Team1,Bat,66
84,SA,AUS,Lord's,387,337,Team1,Team1,Bowl,98
85,IND,PAK,Karachi,326,333,Team1,Team2,Bowl,37
86,ENG,AUS,Mumbai,296,370,Team2,Team2,Bowl,41
87,IND,IND,Mumbai,391,285,Team1,Team2,Bowl,65
88,AUS,AUS,Sydney,379,224,Team2,Team2,Bowl,46
89,AUS,NZ,Sydney,297,245,Team1,Team2,Bowl,90
90,NZ,SA,Lord's,293,261,Team1,Team2,Bat,35
91,SA,PAK,Mumbai,254,386,Team1,Team2,Bat,87
92,NZ,AUS,Mumbai,221,362,Team1,Team2,Bat,77
93,PAK,SA,Karachi,314,321,Team1,Team2,Bat,98
94,IND,AUS,Mumbai,215,209,Team2,Team1,Bat,19
95,SA,SA,Mumbai,284,249,Team2,Team1,Bowl,29
96,ENG,AUS,Sydney,397,221,Team1,Team1,Bat,88
97,ENG,SA,Cape Town,346,387,Team2,Team1,Bowl,32
98,ENG,AUS,Sydney,393,289,Team2,Team2,Bat,71
99,SA,AUS,Mumbai,241,253,Team2,Team2,Bowl,61
100,ENG,SA,Sydney,259,328,Team1,Team1,Bowl,87
101,SA,ENG,Karachi,391,229,Team1,Team1,Bat,19
102,NZ,AUS,Mumbai,284,338,Team2,Team2,Bowl,68
103,SA,PAK,Karachi,266,399,Team2,Team1,Bowl,68
104,PAK,AUS,Mumbai,304,374,Team1,Team1,Bat,13
105,IND,IND,Karachi,308,380,Team2,Team2,Bowl,41
106,IND,PAK,Karachi,272,237,Team1,Team2,Bat,75
107,SA,AUS,Karachi,240,383,Team2,Team2,Bat,51
108,IND,NZ,Sydney,318,394,Team2,Team2,Bowl,94
109,NZ,NZ,Cape Town,388,249,Team1,Team1,Bowl,11
110,SA,PAK,Mumbai,385,377,Team1,Team1,Bat,6
111,ENG,NZ,Mumbai,227,329,Team1,Team1,Bat,59
112,AUS,IND,Cape Town,381,335,Team2,Team1,Bowl,13
113,AUS,PAK,Mumbai,242,291,Team1,Team1,Bat,76
114,PAK,SA,Mumbai,348,306,Team2,Team2,Bat,79
115,PAK,NZ,Mumbai,253,282,Team1,Team1,Bowl,6
116,IND,IND,Sydney,234,353,Team2,Team2,Bowl,39
117,ENG,AUS,Cape Town,338,358,Team1,Team1,Bowl,13
118,IND,IND,Sydney,327,353,Team2,Team2,Bowl,7
119,ENG,IND,Sydney,368,393,Team1,Team2,Bat,11
120,NZ,IND,Karachi,251,299,Team1,Team1,Bowl,38
121,ENG,IND,Lord's,307,234,Team1,Team2,Bowl,46
122,SA,SA,Cape Town,345,215,Team2,Team2,Bowl,7
123,SA,PAK,Cape Town,311,310,Team2,Team2,Bowl,37
124,AUS,AUS,Mumbai,331,258,Team2,Team1,Bowl,52
125,NZ,ENG,Mumbai,303,299,Team2,Team1,Bowl,96
126,NZ,PAK,Karachi,287,381,Team2,Team1,Bowl,23
127,IND,ENG,Cape Town,395,280,Team1,Team1,Bowl,83
128,ENG,ENG,Sydney,383,258,Team2,Team1,Bat,93
129,NZ,NZ,Lord's,334,301,Team2,Team1,Bowl,70
130,PAK,AUS,Lord's,204,296,Team1,Team1,Bowl,46
131,ENG,NZ,Cape Town,383,203,Team2,Team1,Bat,96
132,IND,SA,Karachi,234,337,Team1,Team1,Bowl,33
133,SA,NZ,Mumbai,354,306,Team1,Team1,Bowl,73
134,NZ,NZ,Cape Town,373,360,Team2,Team1,Bowl,62
135,IND,IND,Lord's,285,323,Team1,Team2,Bowl,45
136,IND,AUS,Sydney,228,228,Team2,Team1,Bat,36
137,NZ,ENG,Cape Town,236,329,Team1,Team2,Bowl,88
138,AUS,NZ,Sydney,214,237,Team2,Team2,Bowl,12
139,NZ,ENG,Mumbai,399,250,Team1,Team2,Bat,99
140,ENG,NZ,Sydney,275,219,Team2,Team1,Bat,46
141,IND,IND,Mumbai,217,256,Team2,Team2,Bat,57
142,SA,ENG,Sydney,217,206,Team1,Team2,Bowl,42
143,SA,IND,Mumbai,284,245,Team2,Team2,Bat,49
144,NZ,NZ,Cape Town,206,234,Team2,Team1,Bowl,87
145,ENG,SA,Lord's,345,314,Team1,Team1,Bowl,41
146,IND,ENG,Lord's,349,347,Team2,Team2,Bowl,1
147,ENG,AUS,Lord's,351,391,Team1,Team1,Bowl,65
148,SA,PAK,Mumbai,362,231,Team1,Team2,Bat,90
149,NZ,AUS,Sydney,312,272,Team2,Team2,Bat,53
150,PAK,NZ,Cape Town,333,281,Team2,Team2,Bat,0
151,SA,ENG,Karachi,349,261,Team1,Team2,Bat,55
152,NZ,PAK,Sydney,302,280,Team1,Team1,Bat,50
153,SA,ENG,Lord's,350,376,Team1,Team2,Bowl,13
154,ENG,ENG,Karachi,360,280,Team2,Team2,Bowl,40
155,NZ,SA,Karachi,344,202,Team2,Team2,Bowl,30
156,IND,SA,Mumbai,325,239,Team2,Team1,Bat,53
157,NZ,AUS,Cape Town,326,381,Team2,Team1,Bowl,46
158,ENG,PAK,Cape Town,373,390,Team1,Team1,Bowl,6
159,ENG,NZ,Mumbai,397,242,Team2,Team1,Bat,98
160,IND,SA,Lord's,342,283,Team1,Team1,Bat,43
161,PAK,NZ,Mumbai,233,218,Team2,Team2,Bat,29
162,NZ,ENG,Sydney,303,246,Team1,Team2,Bat,43
163,NZ,AUS,Lord's,217,270,Team1,Team2,Bowl,95
164,SA,SA,Cape Town,325,262,Team1,Team1,Bowl,70
165,SA,SA,Lord's,386,292,Team1,Team2,Bat,70
166,NZ,SA,Lord's,278,300,Team1,Team2,Bat,11
167,IND,PAK,Sydney,304,373,Team1,Team1,Bowl,42
168,AUS,NZ,Mumbai,346,257,Team2,Team2,Bat,38
169,AUS,ENG,Sydney,273,286,Team1,Team1,Bat,46
170,AUS,AUS,Mumbai,320,295,Team2,Team2,Bowl,15
171,ENG,NZ,Cape Town,247,248,Team1,Team1,Bat,36
172,PAK,PAK,Karachi,253,294,Team1,Team1,Bat,47
173,IND,IND,Cape Town,202,256,Team2,Team2,Bat,60
174,NZ,IND,Mumbai,221,326,Team2,Team1,Bat,45
175,IND,SA,Cape Town,238,395,Team2,Team1,Bat,58
176,ENG,NZ,Sydney,219,213,Team2,Team1,Bowl,94
177,PAK,ENG,Karachi,201,345,Team2,Team2,Bat,40
178,IND,AUS,Karachi,280,369,Team2,Team1,Bat,46
179,PAK,NZ,Lord's,254,212,Team1,Team1,Bowl,74
180,IND,PAK,Karachi,331,398,Team1,Team1,Bat,92
181,AUS,SA,Cape Town,223,278,Team1,Team2,Bowl,67
182,SA,NZ,Cape Town,393,251,Team1,Team2,Bowl,60
183,NZ,IND,Karachi,280,255,Team1,Team2,Bowl,96
184,ENG,ENG,Cape Town,309,287,Team2,Team2,Bat,84
185,IND,IND,Sydney,242,397,Team1,Team1,Bat,26
186,SA,AUS,Cape Town,302,248,Team2,Team1,Bowl,24
187,AUS,SA,Lord's,239,290,Team2,Team1,Bowl,52
188,AUS,AUS,Lord's,235,375,Team2,Team1,Bat,35
189,PAK,IND,Mumbai,394,298,Team1,Team1,Bowl,14
190,IND,SA,Sydney,352,252,Team2,Team2,Bowl,55
191,AUS,AUS,Cape Town,281,227,Team2,Team1,Bat,35
192,ENG,AUS,Lord's,399,361,Team1,Team1,Bat,85
193,AUS,SA,Sydney,335,341,Team1,Team1,Bowl,65
194,IND,AUS,Sydney,275,247,Team2,Team2,Bowl,59
195,AUS,AUS,Cape Town,375,377,Team2,Team1,Bat,15
196,SA,ENG,Sydney,261,255,Team2,Team2,Bowl,30
197,NZ,PAK,Karachi,208,391,Team2,Team2,Bowl,81
198,SA,PAK,Cape Town,306,381,Team2,Team1,Bowl,3
199,PAK,AUS,Sydney,227,256,Team2,Team1,Bowl,20
200,NZ,IND,Mumbai,234,215,Team1,Team1,Bat,21
201,ENG,AUS,Mumbai,215,371,Team1,Team2,Bowl,7
202,AUS,NZ,Karachi,341,318,Team1,Team1,Bowl,58
203,PAK,AUS,Sydney,212,281,Team1,Team2,Bowl,83
204,PAK,AUS,Cape Town,381,365,Team2,Team2,Bowl,77
205,NZ,PAK,Lord's,386,226,Team1,Team1,Bat,4
206,PAK,AUS,Karachi,297,365,Team1,Team2,Bat,97
207,ENG,SA,Karachi,379,366,Team2,Team2,Bowl,61
208,ENG,SA,Cape Town,209,202,Team1,Team2,Bat,6
209,PAK,PAK,Karachi,223,379,Team1,Team1,Bowl,31
210,SA,AUS,Cape Town,373,232,Team1,Team2,Bowl,34
211,ENG,ENG,Sydney,392,342,Team1,Team1,Bat,51
212,IND,NZ,Karachi,247,336,Team2,Team1,Bowl,78
213,NZ,NZ,Karachi,347,359,Team1,Team1,Bowl,92
214,PAK,NZ,Karachi,223,274,Team1,Team2,Bat,49
215,SA,AUS,Lord's,326,239,Team1,Team1,Bat,51
216,PAK,AUS,Mumbai,396,322,Team2,Team1,Bat,57
217,AUS,SA,Mumbai,235,344,Team2,Team1,Bowl,76
218,IND,AUS,Sydney,365,328,Team1,Team2,Bowl,80
219,AUS,NZ,Cape Town,378,272,Team1,Team1,Bowl,9
220,SA,ENG,Sydney,364,220,Team2,Team1,Bowl,49
221,NZ,IND,Sydney,217,362,Team2,Team2,Bowl,66
222,AUS,ENG,Sydney,227,238,Team1,Team1,Bat,93
223,PAK,ENG,Lord's,222,206,Team2,Team1,Bat,50
224,IND,SA,Lord's,396,240,Team1,Team2,Bowl,59
225,PAK,AUS,Cape Town,325,334,Team1,Team2,Bat,88
226,NZ,IND,Karachi,362,291,Team2,Team2,Bat,30
227,AUS,IND,Karachi,256,321,Team1,Team2,Bowl,82
228,AUS,IND,Karachi,309,393,Team1,Team1,Bat,66
229,IND,ENG,Sydney,266,375,Team1,Team1,Bowl,34
230,ENG,NZ,Lord's,222,395,Team1,Team2,Bowl,44
231,IND,NZ,Lord's,351,334,Team1,Team1,Bat,6
232,PAK,ENG,Cape Town,296,330,Team2,Team2,Bowl,9
233,IND,AUS,Karachi,313,233,Team1,Team1,Bat,56
234,NZ,NZ,Sydney,299,322,Team1,Team2,Bowl,26
235,PAK,IND,Cape Town,343,259,Team1,Team1,Bowl,90
236,AUS,SA,Mumbai,394,338,Team2,Team2,Bowl,51
237,AUS,AUS,Lord's,245,276,Team1,Team2,Bowl,55
238,IND,PAK,Karachi,321,383,Team2,Team1,Bowl,73
239,SA,NZ,Sydney,277,206,Team2,Team2,Bowl,7
240,NZ,NZ,Karachi,349,378,Team1,Team2,Bowl,26
241,ENG,ENG,Karachi,351,337,Team2,Team2,Bowl,17
242,IND,SA,Sydney,393,212,Team2,Team1,Bat,0
243,IND,IND,Karachi,231,369,Team1,Team2,Bowl,50
244,PAK,PAK,Lord's,353,357,Team2,Team2,Bowl,95
245,IND,SA,Karachi,275,265,Team1,Team1,Bowl,52
246,SA,AUS,Karachi,265,250,Team1,Team1,Bat,45
247,SA,ENG,Mumbai,330,243,Team2,Team2,Bat,41
248,ENG,NZ,Mumbai,302,386,Team1,Team2,Bat,30
249,ENG,NZ,Karachi,257,295,Team2,Team1,Bowl,36
250,NZ,AUS,Sydney,214,354,Team2,Team2,Bowl,31
251,ENG,ENG,Karachi,376,255,Team1,Team1,Bat,81
252,NZ,NZ,Mumbai,394,311,Team1,Team1,Bowl,56
253,AUS,IND,Lord's,230,287,Team1,Team1,Bowl,68
254,PAK,IND,Cape Town,315,276,Team1,Team2,Bat,91
255,PAK,SA,Cape Town,233,283,Team1,Team2,Bat,41
256,IND,ENG,Cape Town,227,323,Team2,Team2,Bowl,7
257,PAK,IND,Cape Town,248,382,Team2,Team2,Bowl,30
258,SA,AUS,Sydney,263,243,Team2,Team2,Bat,78
259,IND,ENG,Lord's,229,204,Team1,Team2,Bat,42
260,IND,NZ,Cape Town,334,273,Team2,Team2,Bowl,14
261,IND,SA,Karachi,283,310,Team2,Team1,Bowl,32
262,NZ,ENG,Cape Town,364,277,Team1,Team2,Bat,74
263,PAK,IND,Sydney,368,346,Team1,Team1,Bat,24
264,NZ,SA,Sydney,286,337,Team2,Team1,Bat,23
265,PAK,ENG,Lord's,262,239,Team1,Team2,Bat,55
266,IND,ENG,Mumbai,289,282,Team2,Team1,Bat,98
267,PAK,ENG,Cape Town,340,272,Team1,Team1,Bowl,74
268,SA,AUS,Sydney,325,382,Team1,Team1,Bat,39
269,ENG,AUS,Karachi,284,266,Team2,Team2,Bat,92
270,ENG,ENG,Sydney,346,265,Team2,Team1,Bat,97
271,NZ,AUS,Sydney,349,301,Team2,Team2,Bowl,76
272,AUS,NZ,Sydney,226,247,Team1,Team1,Bowl,82
273,NZ,IND,Cape Town,376,343,Team1,Team1,Bat,39
274,IND,AUS,Sydney,311,289,Team1,Team1,Bat,32
275,PAK,AUS,Mumbai,382,277,Team2,Team2,Bowl,13
276,SA,ENG,Cape Town,374,313,Team1,Team1,Bowl,13
277,SA,IND,Karachi,269,293,Team1,Team2,Bowl,9
278,PAK,IND,Karachi,395,221,Team1,Team1,Bat,24
279,PAK,ENG,Mumbai,310,228,Team1,Team2,Bowl,43
280,NZ,AUS,Mumbai,367,302,Team2,Team2,Bowl,6
281,PAK,AUS,Karachi,366,277,Team2,Team2,Bowl,36
282,NZ,SA,Mumbai,299,302,Team1,Team1,Bat,85
283,NZ,PAK,Mumbai,356,328,Team2,Team1,Bat,33
284,IND,AUS,Mumbai,359,374,Team1,Team2,Bat,54
285,IND,IND,Karachi,315,255,Team1,Team2,Bowl,45
286,IND,NZ,Karachi,256,284,Team1,Team2,Bowl,55
287,ENG,ENG,Mumbai,280,252,Team1,Team2,Bowl,75
288,SA,NZ,Karachi,256,299,Team1,Team2,Bat,91
289,NZ,PAK,Karachi,281,252,Team2,Team2,Bat,26
290,PAK,NZ,Lord's,395,254,Team1,Team1,Bat,55
291,NZ,IND,Mumbai,322,377,Team1,Team2,Bat,19
292,IND,NZ,Cape Town,235,337,Team2,Team2,Bowl,56
293,IND,NZ,Cape Town,249,308,Team1,Team1,Bowl,28
294,NZ,SA,Karachi,317,368,Team1,Team1,Bat,9
295,NZ,SA,Mumbai,299,324,Team1,Team1,Bat,2
296,AUS,AUS,Sydney,307,254,Team1,Team2,Bat,89
297,ENG,NZ,Karachi,231,338,Team2,Team2,Bat,27
298,PAK,AUS,Karachi,262,350,Team2,Team1,Bowl,71
299,ENG,SA,Mumbai,230,212,Team2,Team2,Bat,12
300,AUS,PAK,Lord's,362,367,Team2,Team1,Bowl,54
301,SA,ENG,Lord's,207,202,Team2,Team2,Bowl,32
302,NZ,SA,Sydney,213,273,Team2,Team2,Bat,21
303,SA,PAK,Mumbai,252,239,Team1,Team2,Bat,8
304,AUS,PAK,Lord's,205,384,Team2,Team1,Bowl,23
305,SA,NZ,Lord's,377,370,Team1,Team1,Bowl,98
306,IND,AUS,Karachi,279,355,Team1,Team2,Bat,46
307,IND,NZ,Cape Town,227,286,Team1,Team2,Bowl,82
308,NZ,PAK,Mumbai,238,227,Team1,Team2,Bowl,65
309,PAK,IND,Sydney,348,276,Team2,Team2,Bowl,85
310,IND,PAK,Mumbai,235,376,Team2,Team1,Bowl,65
311,IND,ENG,Lord's,307,330,Team1,Team2,Bowl,47
312,ENG,PAK,Karachi,350,319,Team1,Team1,Bowl,11
313,SA,NZ,Sydney,230,372,Team1,Team1,Bowl,7
314,PAK,AUS,Lord's,223,308,Team2,Team2,Bowl,84
315,SA,PAK,Sydney,214,370,Team2,Team2,Bowl,83
316,ENG,ENG,Lord's,355,271,Team2,Team1,Bowl,19
317,ENG,SA,Karachi,396,382,Team2,Team1,Bowl,18
318,SA,ENG,Sydney,255,238,Team1,Team2,Bat,49
319,PAK,NZ,Lord's,259,209,Team1,Team1,Bat,52
320,IND,SA,Mumbai,390,214,Team2,Team2,Bat,19
321,ENG,IND,Sydney,379,310,Team2,Team2,Bat,81
322,NZ,PAK,Mumbai,206,340,Team2,Team2,Bowl,91
323,NZ,PAK,Mumbai,243,318,Team1,Team2,Bat,86
324,SA,PAK,Sydney,399,221,Team2,Team1,Bowl,76
325,PAK,ENG,Cape Town,364,275,Team2,Team2,Bat,27
326,NZ,AUS,Sydney,202,212,Team2,Team1,Bat,66
327,AUS,SA,Mumbai,343,328,Team1,Team2,Bat,75
328,ENG,SA,Mumbai,356,372,Team1,Team2,Bat,92
329,IND,IND,Lord's,224,229,Team1,Team1,Bowl,84
330,ENG,NZ,Lord's,289,221,Team2,Team2,Bowl,60
331,SA,NZ,Lord's,279,339,Team2,Team2,Bowl,40
332,AUS,NZ,Sydney,278,386,Team1,Team1,Bowl,0
333,IND,AUS,Karachi,329,261,Team2,Team2,Bowl,57
334,IND,NZ,Karachi,352,220,Team1,Team1,Bowl,89
335,SA,ENG,Karachi,341,216,Team1,Team2,Bat,31
336,IND,ENG,Karachi,386,213,Team1,Team1,Bat,56
337,IND,PAK,Mumbai,377,272,Team1,Team2,Bat,61
338,NZ,ENG,Mumbai,206,382,Team2,Team1,Bat,48
339,AUS,IND,Mumbai,252,344,Team1,Team2,Bat,8
340,SA,NZ,Mumbai,262,299,Team1,Team1,Bowl,85
341,NZ,AUS,Sydney,208,306,Team1,Team1,Bat,92
342,AUS,NZ,Sydney,253,208,Team1,Team2,Bowl,95
343,SA,PAK,Mumbai,352,226,Team2,Team2,Bat,85
344,SA,IND,Karachi,331,207,Team2,Team2,Bat,15
345,IND,ENG,Mumbai,343,303,Team1,Team1,Bowl,36
346,NZ,NZ,Lord's,317,377,Team2,Team2,Bat,87
347,AUS,SA,Sydney,378,349,Team2,Team2,Bat,35
348,PAK,SA,Karachi,393,279,Team2,Team2,Bowl,55
349,AUS,PAK,Lord's,309,341,Team1,Team1,Bat,73
350,NZ,IND,Karachi,229,293,Team2,Team1,Bat,73
351,SA,AUS,Sydney,295,299,Team2,Team2,Bowl,5
352,NZ,AUS,Lord's,230,322,Team1,Team1,Bowl,48
353,ENG,IND,Cape Town,356,255,Team2,Team2,Bat,10
354,AUS,NZ,Mumbai,283,304,Team2,Team2,Bowl,46
355,ENG,NZ,Mumbai,390,287,Team1,Team2,Bat,84
356,NZ,PAK,Mumbai,308,364,Team2,Team1,Bat,11
357,IND,SA,Karachi,309,263,Team1,Team2,Bat,79
358,NZ,PAK,Karachi,256,366,Team2,Team2,Bat,37
359,IND,IND,Lord's,237,320,Team1,Team1,Bowl,71
360,IND,SA,Mumbai,376,266,Team1,Team2,Bat,24
361,NZ,ENG,Cape Town,269,274,Team1,Team1,Bat,85
362,AUS,IND,Karachi,231,280,Team1,Team2,Bowl,11
363,SA,PAK,Karachi,276,259,Team1,Team2,Bowl,50
364,AUS,PAK,Mumbai,203,201,Team2,Team2,Bat,42
365,NZ,PAK,Mumbai,287,308,Team2,Team2,Bowl,96
366,PAK,SA,Sydney,298,245,Team1,Team1,Bat,10
367,IND,PAK,Sydney,223,203,Team1,Team1,Bowl,34
368,AUS,NZ,Lord's,277,200,Team1,Team1,Bowl,2
369,AUS,ENG,Karachi,238,244,Team1,Team1,Bowl,45
370,AUS,IND,Sydney,251,387,Team2,Team1,Bowl,28
371,ENG,SA,Cape Town,330,392,Team1,Team1,Bat,70
372,AUS,ENG,Karachi,209,221,Team1,Team1,Bat,93
373,NZ,ENG,Sydney,212,235,Team1,Team2,Bowl,84
374,ENG,PAK,Cape Town,324,259,Team2,Team1,Bowl,60
375,AUS,AUS,Lord's,234,202,Team2,Team1,Bowl,82
376,NZ,IND,Cape Town,361,380,Team1,Team2,Bat,19
377,ENG,SA,Mumbai,210,248,Team1,Team2,Bowl,29
378,IND,NZ,Sydney,284,299,Team1,Team1,Bowl,83
379,IND,AUS,Mumbai,242,212,Team2,Team2,Bowl,49
380,AUS,ENG,Karachi,238,216,Team1,Team1,Bat,44
381,AUS,PAK,Mumbai,371,304,Team2,Team2,Bat,17
382,PAK,ENG,Cape Town,250,290,Team1,Team1,Bowl,24
383,SA,SA,Cape Town,334,342,Team1,Team1,Bowl,24
384,ENG,IND,Mumbai,214,213,Team1,Team1,Bowl,6
385,ENG,NZ,Sydney,376,214,Team2,Team2,Bowl,28
386,PAK,ENG,Lord's,301,366,Team1,Team1,Bat,55
387,AUS,ENG,Sydney,277,282,Team2,Team1,Bat,62
388,SA,AUS,Cape Town,233,288,Team1,Team1,Bowl,39
389,PAK,PAK,Mumbai,304,300,Team1,Team1,Bowl,61
390,ENG,AUS,Sydney,283,392,Team2,Team2,Bat,58
391,PAK,AUS,Karachi,234,313,Team2,Team2,Bowl,21
392,ENG,ENG,Mumbai,215,238,Team1,Team2,Bowl,5
393,IND,PAK,Lord's,219,396,Team1,Team2,Bat,87
394,NZ,PAK,Lord's,373,365,Team1,Team1,Bat,81
395,SA,IND,Cape Town,372,244,Team2,Team1,Bowl,15
396,AUS,IND,Mumbai,336,222,Team2,Team1,Bat,37
397,IND,IND,Lord's,217,244,Team2,Team1,Bat,82
398,NZ,AUS,Cape Town,387,394,Team1,Team2,Bowl,82
399,PAK,IND,Sydney,217,229,Team1,Team1,Bat,2
400,IND,NZ,Mumbai,351,392,Team1,Team1,Bat,60
401,SA,ENG,Sydney,393,284,Team2,Team1,Bowl,34
402,NZ,AUS,Mumbai,327,324,Team2,Team2,Bat,97
403,NZ,SA,Mumbai,361,331,Team1,Team2,Bat,0
404,SA,PAK,Cape Town,351,287,Team1,Team2,Bat,85
405,NZ,ENG,Lord's,316,303,Team2,Team1,Bat,23
406,AUS,NZ,Cape Town,392,277,Team1,Team2,Bat,76
407,ENG,IND,Mumbai,385,205,Team1,Team2,Bowl,8
408,PAK,AUS,Mumbai,284,365,Team2,Team2,Bowl,51
409,SA,SA,Cape Town,223,207,Team1,Team1,Bat,32
410,ENG,IND,Lord's,213,251,Team1,Team1,Bowl,69
411,AUS,NZ,Mumbai,241,349,Team2,Team1,Bowl,90
412,ENG,PAK,Cape Town,380,322,Team2,Team2,Bowl,2
413,NZ,PAK,Mumbai,369,395,Team1,Team1,Bowl,37
414,IND,PAK,Sydney,250,341,Team1,Team1,Bowl,30
415,IND,NZ,Karachi,278,360,Team1,Team1,Bowl,92
416,PAK,IND,Sydney,235,333,Team2,Team1,Bowl,87
